Read only,Read only,Read only,Read only,Read only,Read only,Read only,Can update,Can update,Read only
business_id,store_id,upc_id,sku_id,item_name,category_l1,category_l2,default_price,status,currency
"15299327","36902681","|5854637|","|10700021526|","Milk Duds Chocolate & Caramel Candy (5 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|010700556899|","|10700556899|","Jolly Rancher Awesome Reds! Assorted Fruit Flavored Hard Candies Bag (13 oz)","Candy","Hard Candies","6.25","Active","USD"
"15299327","36902681","|010700557261|","|10700557261|","Jolly Rancher Blue Raspberry & Cherry Ropes Chewy Candy Bag (10 oz)","Candy","Fruity","4.75","Active","USD"
"15299327","36902681","|010700808530|","|10700808530|","Payday Snack Size Peanut Caramel Candy Bars (0.7 oz x 12 ct)","Candy","Hard Candies","4.25","Active","USD"
"15299327","36902681","|010700858788|","|10700858788|","Jolly Rancher Sour Gummies Assorted Flavor Candy (13 oz)","Candy","Gummy","6.25","Active","USD"
"15299327","36902681","|010700858832|","|10700858832|","Jolly Rancher Tropical Fruit Gummies Bag (13 oz)","Candy","Gummy","6.25","Active","USD"
"15299327","36902681","|012000002243|","|12000002243|","Mountain Dew Code Red with a Rush of Cherry Flavor Soda Bottle (20 fl oz)","Drinks","Soda","2.99","Active","USD"
"15299327","36902681","|012000028625|","|12000028625|","Mountain Dew Voltage Charged Raspberry Citrus & Ginseng Soda Bottle (20 fl oz)","Drinks","Soda","2.99","Active","USD"
"15299327","36902681","|012000110443|","|12000110443|","Mountain Dew Kickstart Energizing Orange Citrus Flavored Sparkling Drink Can (16 fl oz)","Drinks","Energy","1.75","Active","USD"
"15299327","36902681","|012000141430|","|12000141430|","Mountain Dew Kickstart Pineapple Orange & Mango Flavored Juice Energy Drink Can (12 fl oz)","Drinks","Energy","1.75","Active","USD"
"15299327","36902681","|012000221507|","|12000221507|","Starry Caffeine Free Lemon Lime Soda Bottles (16.9 fl oz x 6 ct)","Drinks","Other Drinks","6.69","Active","USD"
"15299327","36902681","|012000221637|","|12000221637|","Starry Zero Sugar Caffeine Free Lemon Lime Soda Cans (12 fl oz x 12 ct)","Drinks","Soda","9.99","Active","USD"
"15299327","36902681","|012000504051|","|12000504051|","Pepsi Cola Soda Bottles (16.9 fl oz x 6 ct)","Drinks","Soda","6.69","Active","USD"
"15299327","36902681","|8852921|","|12000813313|","Regular Chilled Coffee Drink (13.7 oz)","Drinks","Coffee","3.65","Active","USD"
"15299327","36902681","|4181986|","|1255906|","Pepsi Wild Cherry Flavor Soda Bottle (20 fl oz)","Drinks","Soda","2.50","Active","USD"
"15299327","36902681","|014100085478|","|14100085478|","Goldfish Cheddar Cheese Baked Snack Crackers (6.6 oz)","Snacks","Crackers","3.65","Active","USD"
"15299327","36902681","|016571910303|","|16571910303|","Talking Rain Sparkling Ice Zero Sugar Black Raspberry Flavored Sparkling Water Bottle (17 fl oz)","Drinks","Flavored Water","1.25","Active","USD"
"15299327","36902681","|016571910310|","|16571910310|","Talking Rain Sparkling Ice Zero Sugar Orange Mango Flavored Sparkling Water Bottle (17 fl oz)","Drinks","Other Drinks","1.25","Active","USD"
"15299327","36902681","|016571910327|","|16571910327|","Talking Rain Sparkling Ice Zero Sugar Kiwi Strawberry Flavored Water Bottle (17 fl oz)","Drinks","Flavored Water","1.25","Active","USD"
"15299327","36902681","|016571940355|","|16571940355|","Talking Rain Sparkling Ice Zero Sugar Classic Lemonade Flavored Sparkling Water Bottle (17 fl oz)","Drinks","Other Drinks","1.25","Active","USD"
"15299327","36902681","|019000170309|","|19000170309|","Life Savers Wint O Green Mints (50 oz)","Candy","Gum & Mints","1.99","Active","USD"
"15299327","36902681","|019320015441|","|19320015441|","Lorna Doone Shortbread Cookies Snack Pack (1.5 oz)","Snacks","Cookies","1.00","Active","USD"
"15299327","36902681","|021788916291|","|21788916291|","Lotus Biscoff Cookies (8.8 oz)","Snacks","Snack Mixes","3.50","Active","USD"
"15299327","36902681","|022000002785|","|22000002785|","Hubba Bubba Tangy Tropical Bubble Gum Tape (2 oz)","Candy","Gum & Mints","2.25","Active","USD"
"15299327","36902681","|022000004833|","|22000004833|","Orbit Sugar Free Sweet Mint Gum (14 ct)","Candy","Gum & Mints","1.89","Active","USD"
