Reference Handle,Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Auntie Jummy's Candy & Snacks,New Quantity Auntie Jummy's Candy & Snacks,Stock Alert Enabled Auntie Jummy's Candy & Snacks,Stock Alert Count Auntie Jummy's Candy & Snacks
#-extra-peppermint-long-lasting-flavor-sugarfree-gum-regular,LZYKOLTJH7C2LZH64QS46PTL,Extra Peppermint Long Lasting Flavor Sugarfree Gum,Regular,2079017,,Cookies > candy,Cookies > candy,,,,2289106,,Physical good,,,,,,,,2.25,,N,,,,,,,10,,,
#-takis-mini-fuego-chili-and-pepper-lime-tortilla-chips-1oz-regular,V3FTEJJ7EPKZ7TFLKU7YEHOM,"Takis Mini Fuego Chili and Pepper Lime Tortilla Chips, 1oz",Regular,7.57528E+11,,Chips,Chips,,,,,,Physical good,,,,,,,,0.5,,N,,,,,,,49,,,
#-12-cans-java-monster-irish-blend-energy-15-fl-oz-regular,OK7SPDOTYQVXEYDGVVV5VDNE,(12 Cans) Java Monster Irish Blend Energy 15 Fl Oz,Regular,D838633,,Chips > Drinks,Chips > Drinks,,,,70847812517,visible,Physical good,,,,,,,,2.99,,N,,,,N,,,8,,,
#100-grand-candy-bars-fun-size-5-pack-regular,EBJLYD3TB4VGKYMXECCPIVVP,100 Grand Candy Bars Fun Size 5-Pack,Regular,M271134,,Cookies > candy,Cookies > candy,,,,99900723713,visible,Physical good,,,,,,,,5.99,,N,,,,N,,,,,,
#100-grand-chocolate-bar-1-5-oz-pack-of-36--regular,JWNQVHONR2ZVVC3IB5UVPT5C,100 Grand Chocolate Bar 1.5 oz (Pack of 36),Regular,2709866,,Cookies > candy,Cookies > candy,,,,99900694235,,Physical good,,,,,,,,1.99,,N,,,,,,,1,,,
#12-sandwich-cookies-regular,TAXHLLAG52MLL32XGZSXOSDM,12 Sandwich Cookies,Regular,4772022,,water > Snacks,water > Snacks,,,,24300041013,visible,Physical good,,,,,,,,variable,,N,,,,N,,,,,,
#130294-5-oz-fruit-gummi-bears-regular,BP7O6VTB4DRKPJH2Y6DALL76,130294 5 oz Fruit Gummi Bears,Regular,Y974826,,Cookies > candy,Cookies > candy,,,,6.34419E+11,visible,Physical good,,,,,,,,variable,,N,,,,N,,,,,,
#6066343-fruit-punch-beverage-20-oz-regular,6JYDGQP4LHFSYKQXKQLTTWD6,6066343 Fruit Punch Beverage - 20 oz,Regular,B499549,,Chips > Drinks,Chips > Drinks,,,,6.13009E+11,,Physical good,,,,,,,,1.25,,N,,,,,,,15,,,
#a-w-cream-soda-regular,TTODFQLXSS4X4MUOK7QSUNJ3,A&W Cream Soda,Regular,M353736,,,,,,,78000054408,visible,Physical good,,,,,,,,2.65,,N,,,,N,,,48,,,
#airheads-rainbow-berry-xtremes-sour-candy--regular,63NWLBALUTZPMUGAYJBIJHU3,AirHeads Rainbow Berry Xtremes Sour Candy,Regular,Q689611,,Cookies > candy,Cookies > candy,,,,73390008383,,Physical good,,,,,,,,1.99,,N,,,,N,,,18,,,
